condition,coherence,time,invtime,stimulus,decision
3,0.5,64,2,0,1
3,0.5,65,1,0,1
3,0.72,1,10,1,1
3,0.72,2,9,1,1
3,0.72,3,8,0,1
3,0.72,4,7,1,1
3,0.72,5,6,1,1
3,0.72,6,5,1,1
3,0.72,7,4,0,1
3,0.72,8,3,0,1
3,0.72,9,2,0,1
3,0.72,10,1,1,1
3,0.5,1,12,0,1
3,0.5,2,11,1,1
3,0.5,3,10,1,1
3,0.5,4,9,1,1
3,0.5,5,8,1,1
3,0.5,6,7,1,1
3,0.5,7,6,0,1
3,0.5,8,5,0,1
3,0.5,9,4,1,1
3,0.5,10,3,0,1
3,0.5,11,2,0,1
3,0.5,12,1,1,1
3,0.28,1,11,0,0
3,0.28,2,10,0,0
3,0.28,3,9,1,0
3,0.28,4,8,0,0
3,0.28,5,7,0,0
3,0.28,6,6,0,0
3,0.28,7,5,1,0
3,0.28,8,4,0,0
3,0.28,9,3,0,0
3,0.28,10,2,0,0
3,0.28,11,1,1,0
3,0.5,1,12,1,1
3,0.5,2,11,0,1
3,0.5,3,10,1,1
3,0.5,4,9,0,1
3,0.5,5,8,1,1
3,0.5,6,7,0,1
3,0.5,7,6,1,1
3,0.5,8,5,1,1
3,0.5,9,4,1,1
3,0.5,10,3,1,1
3,0.5,11,2,1,1
3,0.5,12,1,1,1
3,0.28,1,9,1,0
3,0.28,2,8,1,0
3,0.28,3,7,0,0
3,0.28,4,6,0,0
3,0.28,5,5,0,0
3,0.28,6,4,0,0
3,0.28,7,3,0,0
3,0.28,8,2,0,0
3,0.28,9,1,0,0
3,0.28,1,22,0,0
3,0.28,2,21,1,0
3,0.28,3,20,1,0
3,0.28,4,19,1,0
3,0.28,5,18,0,0
3,0.28,6,17,1,0
3,0.28,7,16,0,0
3,0.28,8,15,0,0
3,0.28,9,14,1,0
3,0.28,10,13,1,0
3,0.28,11,12,1,0
3,0.28,12,11,0,0
3,0.28,13,10,0,0
3,0.28,14,9,0,0
3,0.28,15,8,1,0
3,0.28,16,7,0,0
3,0.28,17,6,1,0
3,0.28,18,5,0,0
3,0.28,19,4,0,0
3,0.28,20,3,0,0
3,0.28,21,2,0,0
3,0.28,22,1,0,0
3,0.5,1,11,1,1
3,0.5,2,10,0,1
3,0.5,3,9,1,1
3,0.5,4,8,1,1
3,0.5,5,7,1,1
3,0.5,6,6,1,1
3,0.5,7,5,0,1
3,0.5,8,4,1,1
3,0.5,9,3,0,1
3,0.5,10,2,1,1
3,0.5,11,1,1,1
3,0.28,1,6,0,0
3,0.28,2,5,1,0
3,0.28,3,4,0,0
3,0.28,4,3,0,0
3,0.28,5,2,0,0
3,0.28,6,1,0,0
3,0.28,1,10,0,0
3,0.28,2,9,0,0
3,0.28,3,8,0,0
3,0.28,4,7,1,0
3,0.28,5,6,1,0
3,0.28,6,5,0,0
3,0.28,7,4,1,0
3,0.28,8,3,0,0
3,0.28,9,2,0,0
3,0.28,10,1,0,0
3,0.28,1,8,0,0
3,0.28,2,7,0,0
3,0.28,3,6,1,0
3,0.28,4,5,0,0
3,0.28,5,4,0,0
3,0.28,6,3,0,0
3,0.28,7,2,0,0
3,0.28,8,1,0,0
3,0.5,1,24,1,1
3,0.5,2,23,1,1
3,0.5,3,22,1,1
3,0.5,4,21,0,1
3,0.5,5,20,0,1
3,0.5,6,19,0,1
3,0.5,7,18,0,1
3,0.5,8,17,0,1
3,0.5,9,16,1,1
3,0.5,10,15,0,1
3,0.5,11,14,1,1
3,0.5,12,13,1,1
3,0.5,13,12,1,1
3,0.5,14,11,1,1
3,0.5,15,10,0,1
3,0.5,16,9,0,1
3,0.5,17,8,1,1
3,0.5,18,7,0,1
3,0.5,19,6,0,1
3,0.5,20,5,1,1
3,0.5,21,4,1,1
3,0.5,22,3,1,1
3,0.5,23,2,1,1
3,0.5,24,1,1,1
3,0.5,1,12,1,1
3,0.5,2,11,0,1
3,0.5,3,10,0,1
3,0.5,4,9,1,1
3,0.5,5,8,1,1
3,0.5,6,7,1,1
3,0.5,7,6,1,1
3,0.5,8,5,0,1
3,0.5,9,4,1,1
3,0.5,10,3,0,1
3,0.5,11,2,0,1
3,0.5,12,1,1,1
3,0.28,1,10,0,0
3,0.28,2,9,0,0
3,0.28,3,8,0,0
3,0.28,4,7,1,0
3,0.28,5,6,0,0
3,0.28,6,5,0,0
3,0.28,7,4,0,0
3,0.28,8,3,0,0
3,0.28,9,2,0,0
3,0.28,10,1,0,0
3,0.5,1,8,0,0
3,0.5,2,7,0,0
3,0.5,3,6,1,0
3,0.5,4,5,1,0
3,0.5,5,4,0,0
3,0.5,6,3,0,0
3,0.5,7,2,1,0
3,0.5,8,1,0,0
3,0.5,1,14,0,1
3,0.5,2,13,0,1
3,0.5,3,12,1,1
3,0.5,4,11,0,1
3,0.5,5,10,0,1
3,0.5,6,9,1,1
3,0.5,7,8,0,1
